Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
1,1,1,6,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,48412,48412,25552,21532,1328,6,21532,1328,6,19364,3496,3,18323,4537,2,18323,4537,2,1,0,0,0,0,0,0,0,0,15,15,15,15,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1,0.51,1.77,1.77,2.92,0.6
2,2,2,7,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,4,8,0,---,??_??_?_??,1,1.67,1.88,2.17,1.89,1.71,2.46,4.38,0.74
3,3,3,8,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,14,20,0,---,?_?_?_??_?_??_??_?_?_?_??_??_?_?,1.27,1,0.3,4,0.84,0.55,1.06,4.72,0.7
4,4,4,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,134802,134802,99457,31279,4066,18,29065,6280,12,25222,10123,6,21282,14063,3,16407,18938,1,3,0,0,0,0,0,0,0,0,45,41,45,41,0,0,0,0,8,39,12,16,0,---,?_?_??_??_??_?_?_?_?_?_?_?,1.75,1.75,0.38,5.38,2.5,2.17,2.65,4.51,0.71
5,5,5,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,11,15,0,---,?_?_?_?_?_??_??_?_?_??_?,1,1.17,0.19,2.83,0.31,0.19,0.39,4.25,0.62
6,6,6,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,3,913054,913054,212221,675198,25635,137,668302,32531,119,632247,68586,66,608523,92310,49,522240,178593,23,31,0,0,0,0,0,0,0,0,443,449,443,449,0,0,0,0,36,184,40,60,0,---,?_?_?_?_?_?_??_?_?_?_?_?_??_??_??_?_?_??_??_?_?_???_?_?_??_??_??_?_??_??_?_???_???_?_?_?_??_??_?_?,1.58,1.67,0.69,7.97,1.58,1.87,2.36,6.98,0.82
7,7,7,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,3,544360,544360,79252,454605,10503,63,450588,14520,53,430639,34469,26,416044,49064,15,402947,62161,10,10,0,0,0,0,0,0,0,0,135,131,135,131,0,0,0,0,22,99,28,41,0,---,??_?_??_??_??_?_?_?_??_?_??_?_??_??_?_??_?_?_?_??_?_??_?_?_??_?_?_?,1.64,1.45,0.67,3.05,1.63,1.95,2.33,6.23,0.8
8,8,8,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,56485,56485,34536,20694,1255,10,20378,1571,9,16596,5353,4,16596,5353,4,6659,15290,1,2,0,0,0,0,0,0,0,0,18,17,18,17,0,0,0,0,7,40,8,14,0,---,??_?_??_???_?_??_?_?,1.43,1.29,0.07,2.71,1.33,0.83,1.5,3.67,0.6
9,9,9,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,66422,66422,52858,10694,2870,9,10355,3209,8,6418,7146,3,3934,9630,1,0,13564,0,1,0,0,0,0,0,0,0,0,29,26,29,26,0,0,0,0,8,31,8,13,0,---,??_?_??_?_??_??_?_?,1.25,1.75,0.71,4.75,2.33,1.8,2.82,5.03,0.79
10,10,10,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,59839,59839,16853,38470,4516,17,37400,5586,14,32063,10923,6,28989,13997,4,24915,18071,3,1,0,0,0,0,0,0,0,0,48,44,48,44,0,0,0,0,11,47,13,23,0,---,2017_?_?_?_?_??_??_?_??_??_??_?_?,1.73,1.55,0.95,4.64,2.22,1.97,2.93,5.93,0.87
11,11,11,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,2,235701,235701,37483,184950,13268,34,182608,15610,28,173647,24571,15,169698,28520,12,153016,45202,7,2,0,0,0,0,0,0,0,0,115,114,115,114,0,0,0,0,17,94,19,33,0,---,??_?_????_?_??_??_??_?_?_??_??_?_???_?_?_??_??_?_?,1.88,2.41,1.37,3.59,2.45,2.25,3.08,5.94,0.8
12,12,12,9,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,3,124452,124452,114652,6761,3039,9,5492,4308,6,2659,7141,2,0,9800,0,0,9800,0,4,0,0,0,0,0,0,0,0,40,37,40,37,0,0,0,0,10,48,10,18,0,---,?_??_????_?_?_?_??_??_??_?,1.4,1.4,0.06,1.8,1.16,1.6,1.68,4.25,0.64
