Id,STseg,SegId,Study,Session,Order,SL,TL,Task,Task2,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
9,9,24,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,96552,96552,4592,76468,15492,49,70430,21530,34,61251,30709,21,41145,50815,7,29097,62863,2,0,0,0,0,0,0,0,0,0,188,154,188,154,0,0,0,0,26,137,21,35,0,---,??_??_?_??_?_??_??_?_??_?_?_?_??_??_?_?_??_??_???_??_?,1.5,2.23,1.41,4.42,2.38,2.76,3.3,6.97,0.84
10,10,25,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,2,238137,238137,138644,79218,20275,73,72738,26755,57,52858,46635,29,17831,81662,4,8868,90625,1,1,0,0,0,0,0,0,0,0,283,223,283,223,0,0,0,0,29,170,39,61,0,---,?_??_???_—_—_??_?_??_?_?_?????_—_—_??_??_?_?_??_?_??_??_?_?_?_?_??_??_?_?_?_?_?_?_???_??_?_???_?_?,2.17,1.62,0.77,3.66,1.82,2.18,2.57,7.16,0.85
11,11,26,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,76761,76761,10117,45151,21493,48,40701,25943,37,30025,36619,22,4057,62587,2,0,66644,0,0,0,0,0,0,0,0,0,0,277,216,277,216,0,0,0,0,33,161,33,62,0,---,??_?_??_??_??_??_??_??_?_??_??_??_??_?_???_?_??_??_??_?_????_??_??_?_????_?_?_??_??_?_??_??_?,1.36,1.64,0.72,5.15,2.3,2.51,3.26,7.4,0.86
1,1,1,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,1,100270,100270,86603,11943,1724,7,11478,2189,6,10939,2728,5,5169,8498,1,5169,8498,1,2,0,0,0,0,0,0,0,0,19,19,19,19,0,0,0,0,1,13,1,4,0,---,????,1,1,0,1,0.89,3.7,3.7,3.39,0.92
2,2,2,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,1,148709,148709,14193,127581,6935,27,126019,8497,23,119692,14824,13,114556,19960,9,98608,35908,5,10,0,0,0,0,0,0,0,0,78,79,78,79,0,0,0,0,15,99,16,27,0,---,“_??_??_?_??_??_??_??_?_??_??_?_??_??_?_”,1.67,1.8,1.13,5.27,2.37,1.56,2.87,6.09,0.8
3,3,3,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,1,54405,54405,19103,32654,2648,17,31894,3408,15,28180,7122,9,24304,10998,6,10408,24894,1,3,0,0,0,0,0,0,0,0,29,36,29,36,0,0,0,0,4,22,8,19,0,---,—_???_•_???_?_1975_?_?,2,1,0,3.25,1.67,2.59,2.62,4.15,0.73
4,4,4,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,2,1208535,652714,592389,595250,20896,99,584700,31446,72,569667,46479,51,547565,68581,36,493574,122572,19,19,0,0,0,0,0,0,0,0,272,281,272,281,0,0,0,0,25,133,24,40,0,---,???_??_?_•_??_?_???_??_?_?_?_??_?_???_?_?_??_?_??_??_??_??_?_?,1.6,2.52,0.89,4,2.5,2.36,3.03,6.85,0.82
5,5,5,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,1,343539,83201,260338,78503,4698,12,77734,5467,10,74803,8398,6,73715,9486,5,67386,15815,3,4,0,0,0,0,0,0,0,0,41,44,41,44,0,0,0,0,12,67,9,18,0,---,?_??_??_???_?_????_?_??_?,1,1.5,0.87,2,1.69,1.74,2.6,5.75,0.79
6,6,6,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,2,867688,867688,68946,770390,28352,161,754198,44544,121,719278,79464,70,688088,110654,47,632733,166009,28,20,0,0,0,0,0,0,0,0,369,370,369,370,0,0,0,0,49,269,44,77,0,---,?_??_??_??_???_??_?_??_?_??_??_?_???_?_?_?_??_??_?_??_?_?_???_?_?_??_??_?_?_???_??_????_?_??_????_?_?_?_?_???_?_???_?_?,1.98,2.92,1.9,5.73,2.76,2.94,3.42,7.98,0.86
7,7,7,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,2,1578884,1359957,291072,1221144,66668,274,1194351,93461,205,1132721,155091,120,1077014,210798,79,969082,318730,44,43,0,0,0,0,0,0,0,0,743,751,743,751,0,0,0,0,41,226,40,66,0,---,?_??_?_??_??_?_??_??_?_??_?_??_??_?_??_?_?_??_?_??_??_?_?_??_??_????_??_?_??_?_??_??_?_??_?_??_??_?_??_?,1.73,2.37,1.38,7.56,3.03,2.94,3.47,7.77,0.86
8,8,8,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,2,677480,677480,198945,455429,23106,83,448639,29896,65,426167,52368,30,411330,67205,18,382603,95932,8,6,0,0,0,0,0,0,0,0,195,186,195,186,0,0,0,0,23,123,25,45,0,---,??_????_??_?_??_??_?_??_??_?_??_??_??_?_??_?_?_??_?_????_?_??_?_??_?,1.35,1.35,1.05,3.57,2.79,2.49,3.2,6.97,0.85
9,9,9,CREATIVE_A1,P03_P1,1,en,zh,P,1,1,P03,1,828003,828003,108493,685464,34046,124,675075,44435,97,643786,75724,54,623051,96459,39,570988,148522,23,15,0,0,0,0,0,0,0,0,342,326,342,326,0,0,0,0,23,124,29,50,0,---,???_??_?_??_?_??_??_?_??_??_?_??_??_?_??_??_?_??_?_??_???_?_?_??_?_??_??_??_?,1.91,1.7,1.06,7.61,2.85,2.83,3.41,6.85,0.83
